,Model V1,Model V2
Accuracy,0.6666666666666666,0.8333333333333334
Precision,0.7424242424242424,0.8407738095238095
Recall,0.6666666666666666,0.8333333333333334
F1 Score,0.6481481481481481,0.8333333333333334
